path,symbol,asset_class,trade_count,net_pnl,gross_profit,gross_loss,profit_factor,expectancy_r,positive_contributor
control,BTC-USD,crypto,14,209.74806305217302,411.9671200302108,-202.2190569780378,2.0372319314838507,0.4759574602642937,True
control,SOL-USD,crypto,14,912.8222861227923,1014.9965943864637,-102.17430826367156,9.93397079593784,2.346476537302146,True
control,META,equity,16,189.74839750691405,473.343168288965,-283.59477078205094,1.6690828500950747,0.37359321982178273,True
control,NVDA,equity,21,646.19923662184,955.2035049329438,-309.00426831110394,3.0912307786352313,1.0732481154355684,True
expanded,BTC-USD,crypto,10,-12.466065191071127,138.62826538926691,-151.09433058033807,0.9174948183483109,0.027254114857032597,False
expanded,ETH-USD,crypto,15,122.49910718393262,253.2377606028853,-130.7386534189527,1.9369769687881329,0.32998034402845494,True
expanded,SOL-USD,crypto,12,684.3663152827296,749.6972702728597,-65.33095499013004,11.475375959009343,1.9535550786049276,True
expanded,META,equity,13,273.8067337995502,475.4391646861194,-201.6324308865691,2.35794987242694,0.6633639099662196,True
expanded,NVDA,equity,18,538.4901807091287,828.851973233081,-290.36179252395226,2.8545490301197534,1.0257700930333078,True
expanded,MSFT,equity,7,196.4582998262504,226.32734829834558,-29.86904847209518,7.577320332443444,0.8843075887891408,True
expanded,AAPL,equity,10,28.281521859848603,210.62076496527905,-182.33924310543048,1.1551038678135561,0.15259319049406056,True
expanded,AMZN,equity,10,-117.07596373262398,78.23591265311227,-195.31187638573624,0.4005691517631945,-0.3665896560884675,False
expanded,GOOGL,equity,17,136.36458201358153,355.39168001335753,-219.02709799977595,1.622592287707346,0.23212233840573027,True
expanded,AVGO,equity,19,-109.33048622279476,194.49508692805406,-303.8255731508488,0.6401537728079513,-0.1750670184968788,False
expanded,TSLA,equity,10,257.5649039462185,412.17207239221165,-154.60716844599307,2.665931188929253,0.9217856790973427,True
