name,trade_count,start_equity,end_equity,total_return,cagr,max_drawdown,sharpe,sortino,profit_factor,expectancy_r,win_rate,average_winner_r,average_loser_r,average_holding_days,average_exposure,top5_profit_share,total_execution_cost,total_fees,evaluation_start,evaluation_end_exclusive
2021,21,5000.0,5651.918510218791,0.13038370204375815,0.130859545945895,-0.0424915398453275,1.8866812941785454,3.1354991787397513,4.332365931587806,1.1912311519487564,0.5714285714285714,2.699895363994545,-0.8203211307789614,20.285714285714285,0.09279021498162868,0.854126309418233,20.854084614494433,5.684456485802468,2021-01-01,2022-01-01
2022,0,5000.0,5000.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,2022-01-01,2023-01-01
2023,11,5000.0,5709.670288414749,0.14193405768294975,0.14245464792107443,-0.024180487915082427,2.2005432353641963,3.8864383409632,7.76977165073003,2.4955252282613234,0.6363636363636364,4.478736745957919,-0.9750949277077176,40.90909090909091,0.09892614596837968,0.9485668100335144,13.248923110499621,3.96839349216891,2023-01-01,2024-01-01
2024,19,5000.0,5521.99650937957,0.10439930187591395,0.10447441989854633,-0.022709931034084696,1.6699561289888978,2.9777068734306047,3.404010261959048,1.069777475935856,0.42105263157894735,3.5447613790366344,-0.7302108172283461,22.63157894736842,0.0991716497010608,0.86376024630137,22.244283113438104,6.720497126591234,2024-01-01,2025-01-01
2025,11,5000.0,4933.098266088538,-0.013380346782292274,-0.013425985932693285,-0.0270910330994929,-0.588934261913982,-0.7475217982084745,0.582692687117278,-0.24090584568100173,0.2727272727272727,1.2467612132415782,-0.7987809927769692,16.90909090909091,0.04806504771164039,1.0,13.054250209746993,3.5981769563822614,2025-01-01,2026-01-01
2026-ytd,3,5000.0,4947.364487313347,-0.01052710253733058,-0.01584586353226547,-0.014774114664551696,-1.6819392906616377,-1.9415648041644704,0.0,-0.7042278253547204,0.0,,-0.7042278253547204,4.666666666666667,0.004495783903516292,,2.1029313850994256,0.24740703643250467,2026-01-01,2026-09-01
