scenario,min_score,stop_atr,trail_atr,is_center,is_axial_neighbor,joint_positive,trade_count,total_return,cagr,max_drawdown,profit_factor,expectancy_r,average_exposure,total_execution_cost
score-65-stop-1p5-trail-2,65,1.5,2.0,False,False,True,88,0.3800271932142876,0.05853919847597355,-0.0571621279748975,2.424809178104312,0.7565276972799253,0.06287909464853056,155.2338086938094
score-65-stop-1p5-trail-2p5,65,1.5,2.5,False,False,True,75,0.5007227419506661,0.07433116509583315,-0.053431135850241396,2.8137128241727107,1.1247309924868067,0.07715322730203059,143.57654066831188
score-65-stop-1p5-trail-3,65,1.5,3.0,False,False,True,68,0.5967740455681809,0.08616760310130323,-0.07358172147381092,3.142588290149086,1.441486719029565,0.08697450511697787,143.05997307494627
score-65-stop-2-trail-2,65,2.0,2.0,False,False,True,86,0.25789361127412347,0.041355703304790215,-0.04631904037586432,2.2363541991997775,0.5478651682058685,0.0501589736842946,106.86596022580095
score-65-stop-2-trail-2p5,65,2.0,2.5,False,True,True,73,0.3490046089792185,0.054296980155934316,-0.0424915057448525,2.608602664495127,0.8470311429191651,0.06240290742268131,96.84535562299595
score-65-stop-2-trail-3,65,2.0,3.0,False,False,True,65,0.4317293257363357,0.06543790537223648,-0.04905625718007678,3.1364346065868216,1.1453798027022504,0.06988870759492852,94.18137805417221
score-65-stop-2p5-trail-2,65,2.5,2.0,False,False,True,85,0.19691078652352356,0.03225564299022121,-0.03692395119384706,2.17721767472526,0.4323095562714186,0.041151288142868635,81.78498511499653
score-65-stop-2p5-trail-2p5,65,2.5,2.5,False,False,True,71,0.26320198263112715,0.04213052706547615,-0.035214770383867,2.5011715258839016,0.6752733250128101,0.05207173798714093,72.16641055518195
score-65-stop-2p5-trail-3,65,2.5,3.0,False,False,True,63,0.32569839816050106,0.05105678234320821,-0.04099913207742689,2.9956056453793147,0.9200733262675411,0.058177534550850396,69.30964108941494
score-70-stop-1p5-trail-2,70,1.5,2.0,False,False,True,80,0.4098592698972636,0.06254519559458238,-0.05681062804713077,2.783047862498522,0.8851005984245293,0.061061440374346215,139.93364086511713
score-70-stop-1p5-trail-2p5,70,1.5,2.5,False,True,True,67,0.5451339379255091,0.07987921845715529,-0.05319952684211482,3.2935072154205076,1.3454606381775542,0.07527644523012328,127.92783494801223
score-70-stop-1p5-trail-3,70,1.5,3.0,False,False,True,61,0.6398504174847397,0.09128631058615944,-0.07069696158182437,3.716693454077948,1.6919989556001949,0.08493852130237232,128.26609509635048
score-70-stop-2-trail-2,70,2.0,2.0,False,True,True,78,0.2905873669531178,0.04608569613336244,-0.04395015197238372,2.6924529323138446,0.6693930519263884,0.04817027832396979,96.33942872460686
score-70-stop-2-trail-2p5,70,2.0,2.5,True,False,True,65,0.3917035863038456,0.06011557528724909,-0.04249150574485239,3.1834277723979074,1.0466119416423523,0.060371934593836184,86.11164700879623
score-70-stop-2-trail-3,70,2.0,3.0,False,True,True,58,0.4713830583816814,0.07059129845596734,-0.04905625718007711,3.8898601004480375,1.3762171095112543,0.06791951118681205,84.19843832094246
score-70-stop-2p5-trail-2,70,2.5,2.0,False,False,True,77,0.22748473719225215,0.036864527203636976,-0.03343803805829004,2.704240994970511,0.5423884296226784,0.03919983382897266,73.66675154235168
score-70-stop-2p5-trail-2p5,70,2.5,2.5,False,True,True,64,0.2992075336065734,0.04731637341595807,-0.03476441908812422,3.0887685111872254,0.8373112240465009,0.04991663081265731,64.91782413862732
score-70-stop-2p5-trail-3,70,2.5,3.0,False,False,True,57,0.3564408486481425,0.055321119824848886,-0.04099913207742667,3.69984921856456,1.0987207617445784,0.056142121018033314,62.77831178619306
score-75-stop-1p5-trail-2,75,1.5,2.0,False,False,True,77,0.41089875077019355,0.06268351912191283,-0.05853444298382959,2.7948549938457075,0.9213783421659719,0.05870464015970772,133.90583616601214
score-75-stop-1p5-trail-2p5,75,1.5,2.5,False,False,True,65,0.5310520306203863,0.0781344182334589,-0.0530058469044834,3.2778094165666554,1.3595900700628345,0.07259862062683184,121.61149571238299
score-75-stop-1p5-trail-3,75,1.5,3.0,False,False,True,59,0.6322592082036018,0.09039235827894476,-0.07069694355225398,3.760329195433806,1.7347108757977934,0.08219379859943185,122.25668410192627
score-75-stop-2-trail-2,75,2.0,2.0,False,False,True,75,0.291613163824503,0.046232500457678016,-0.04509199684765808,2.7092461257862968,0.6987278269584611,0.046164830200975185,91.89528624131134
score-75-stop-2-trail-2p5,75,2.0,2.5,False,True,True,63,0.37990162337919253,0.05852218627188699,-0.04101146172284731,3.128649621485495,1.0540678920784652,0.05803235101666849,81.74142142405152
score-75-stop-2-trail-3,75,2.0,3.0,False,False,True,56,0.46418740322373586,0.06966471595910928,-0.046598944940960396,3.8977802563720063,1.409234420119274,0.06558741494772416,79.99110189934822
score-75-stop-2p5-trail-2,75,2.5,2.0,False,False,True,74,0.22787813042547955,0.036923210594111744,-0.03425076801324611,2.7141126346788242,0.5655416413068114,0.03764872589358439,70.12265991290792
score-75-stop-2p5-trail-2p5,75,2.5,2.5,False,False,True,61,0.3029626421613667,0.04785037848216844,-0.03295977470314648,3.223862185791592,0.88890157139862,0.047897025909241595,61.4800326873782
score-75-stop-2p5-trail-3,75,2.5,3.0,False,False,True,54,0.3633649579961167,0.056270579591960024,-0.03678686419999633,3.955106301661547,1.179767997960045,0.05425590388346093,59.47087306002864
