scenario,multiplier,trade_count,end_equity,cagr,max_drawdown,profit_factor,expectancy_r,win_rate,average_exposure,total_execution_cost,total_fees
low,0.5,65,7025.913696654971,0.061921849887323965,-0.042715568729102205,3.264881423733816,1.0771410306809839,0.46153846153846156,0.06117608899445895,43.99344272539295,12.464451730219393
baseline,1.0,65,6958.517856154911,0.06011557325937056,-0.04249153174345921,3.1834277677568297,1.0466119075913838,0.46153846153846156,0.06037194172028428,86.11164649785181,24.322729587884997
high,2.0,65,6830.9222568996975,0.056656061836033667,-0.042054092077339345,3.030914237437928,0.9880431197537942,0.46153846153846156,0.0588547029427863,165.23668114548812,46.40127381813674
stress,4.0,66,6509.318959811348,0.04769424489808771,-0.04439861871862649,2.620440046760488,0.822050123238992,0.45454545454545453,0.055348740969951245,307.9973323413206,84.91028649997733
